publication_id,reference_id
W2041121121,W4245341397
W2041121121,W4245642611
W2041121121,W4246406755
W2041121121,W6634110172
W2041121121,W6758700588
W2041121121,W6776500212
W2119480063,W93247917
W2119480063,W355720666
W2119480063,W1499933681
W2119480063,W1964584165
W2119480063,W2006834822
W2119480063,W2033190454
W2119480063,W2037001540
W2119480063,W2052417512
W2119480063,W2103604870
W2119480063,W2158685692
W2119480063,W2610881169
W2119480063,W2795627916
W2119480063,W3001796748
W2119480063,W4246406755
W2119480063,W4301026750
W2119480063,W6630002413
W2119480063,W6841554303
W1996318081,W624465380
W1996318081,W1597190660
W1996318081,W1988615048
W1996318081,W2010675647
W1996318081,W2028882400
W1996318081,W2036521903
W1996318081,W2037185594
W1996318081,W2057264023
W1996318081,W2069176141
W1996318081,W2073331028
W1996318081,W2108893166
W1996318081,W2142366594
W2096042773,W26470988
W2096042773,W74490384
W2096042773,W86191047
W2096042773,W116278252
W2096042773,W145953071
W2096042773,W189172639
W2096042773,W203956985
W2096042773,W212036928
W2096042773,W283958787
W2096042773,W298672576
W2096042773,W583938501
W2096042773,W594312344
W2096042773,W601685510
W2096042773,W624465380
W2096042773,W1483328210
W2096042773,W1499933681
W2096042773,W1503796193
W2096042773,W1516357717
W2096042773,W1518764645
W2096042773,W1546932567
W2096042773,W1560003812
W2096042773,W1578046146
W2096042773,W1578832487
W2096042773,W1586624296
W2096042773,W1595149313
W2096042773,W1606213113
W2096042773,W1725850472
W2096042773,W1926433638
W2096042773,W1952001503
W2096042773,W1963490115
W2096042773,W1963548781
W2096042773,W1964538581
W2096042773,W1968173581
W2096042773,W1969245477
W2096042773,W1970389094
W2096042773,W1976276659
W2096042773,W1976878132
W2096042773,W1977210856
W2096042773,W1978270319
W2096042773,W1978777514
W2096042773,W1979556480
W2096042773,W1979854151
W2096042773,W1980459899
W2096042773,W1980514696
W2096042773,W1980561265
W2096042773,W1981061497
W2096042773,W1983952825
W2096042773,W1984650836
W2096042773,W1984873438
W2096042773,W1985609359
W2096042773,W1985963933
W2096042773,W1987358053
W2096042773,W1989016101
W2096042773,W1989805652
W2096042773,W1989823181
W2096042773,W1992017220
W2096042773,W1994345166
W2096042773,W1996142414
W2096042773,W1997359031
W2096042773,W1999959550
W2096042773,W2001987823
W2096042773,W2003540033
W2096042773,W2003840516
W2096042773,W2007180964
W2096042773,W2007496063
W2096042773,W2007798022
W2096042773,W2007894891
W2096042773,W2009198914
W2096042773,W2011136722
W2096042773,W2014637397
W2096042773,W2015551430
W2096042773,W2022893852
W2096042773,W2023108246
W2096042773,W2024577283
W2096042773,W2029418069
W2096042773,W2030393551
W2096042773,W2030454339
W2096042773,W2032337854
W2096042773,W2032511234
W2096042773,W2035070559
W2096042773,W2036134172
W2096042773,W2037001540
W2096042773,W2037268004
W2096042773,W2037320712
W2096042773,W2038179004
W2096042773,W2040361537
W2096042773,W2042400458
W2096042773,W2043143027
W2096042773,W2045506010
W2096042773,W2047237069
W2096042773,W2048569076
W2096042773,W2049059635
W2096042773,W2049485428
W2096042773,W2052670910
W2096042773,W2052843882
W2096042773,W2057233721
W2096042773,W2057978450
W2096042773,W2058597075
W2096042773,W2058632324
W2096042773,W2060692276
W2096042773,W2061023211
W2096042773,W2062273234
W2096042773,W2062438385
W2096042773,W2063253154
W2096042773,W2065169231
W2096042773,W2065744446
W2096042773,W2068084117
W2096042773,W2068974803
W2096042773,W2069724227
W2096042773,W2070176305
W2096042773,W2072201195
W2096042773,W2073825623
W2096042773,W2078120685
W2096042773,W2079140510
W2096042773,W2080303533
W2096042773,W2083974562
W2096042773,W2084646817
W2096042773,W2085417469
W2096042773,W2085674091
W2096042773,W2085941801
W2096042773,W2091784785
W2096042773,W2092021606
W2096042773,W2094065989
W2096042773,W2094136133
W2096042773,W2096542002
W2096042773,W2098619666
W2096042773,W2099252350
W2096042773,W2100500994
W2096042773,W2102311874
W2096042773,W2102757824
W2096042773,W2103869314
W2096042773,W2105055172
W2096042773,W2105118209
W2096042773,W2106042522
W2096042773,W2111197100
W2096042773,W2113235547
W2096042773,W2114181294
W2096042773,W2115304010
W2096042773,W2115663493
W2096042773,W2118489710
W2096042773,W2119374926
W2096042773,W2120453371
W2096042773,W2127210296
W2096042773,W2128217987
W2096042773,W2129111495
W2096042773,W2131657873
W2096042773,W2133008986
W2096042773,W2134632849
W2096042773,W2135868439
W2096042773,W2135896612
W2096042773,W2137526265
W2096042773,W2138098672
W2096042773,W2138269563
W2096042773,W2138905280
